,name,latitude,longitude,humidity,max_temp,cloudiness,wind_speed
0,Vila Franca do Campo,37.7167,-25.4333,71,298.38,86,5.15
1,George Town,5.4112,100.3354,79,301.12,20,2.06
2,Shimoda,34.6667,138.95,89,299.55,94,2.17
3,Hermanus,-34.4187,19.2345,72,293.09,0,3.76
4,Rikitea,-23.1203,-134.9692,66,293.81,56,9.66
5,Longyearbyen,78.2186,15.6401,76,280.06,75,2.06
6,Hilo,19.7297,-155.09,87,297.73,2,1.34
7,Ponta do Sol,32.6667,-17.1,68,300.77,1,0.14
8,Barrow,71.2906,-156.7887,75,274.16,90,4.12
9,Faya,18.3851,42.4509,20,300.75,71,3.51
10,Ushuaia,-54.8,-68.3,95,274.63,91,1.13
11,Norman Wells,65.282,-126.8329,93,281.17,75,2.06
12,Khovd,48.0056,91.6419,46,286.88,0,1.32
13,Kisangani,0.5167,25.2,36,308.24,43,0.46
14,Dunedin,-45.8742,170.5036,71,283.04,9,4.23
15,Altamira,-3.2033,-52.2064,83,300.2,75,4.63
16,Yellowknife,62.456,-114.3525,82,279.0,100,2.51
17,Saskylakh,71.9167,114.0833,77,282.95,100,4.31
18,Nikolskoye,59.7035,30.7861,89,287.6,98,3.71
19,Asău,46.4333,26.4,46,301.7,99,1.09
20,Hobart,-42.8794,147.3294,85,278.07,20,1.03
21,Busselton,-33.65,115.3333,73,284.31,8,4.54
22,Vaini,-21.2,-175.2,83,293.24,20,4.63
23,Chokurdakh,70.6333,147.9167,92,273.55,56,4.82
24,Iberia,29.9502,-91.7507,100,301.51,1,1.54
25,Atuona,-9.8,-139.0333,69,298.15,40,8.54
26,Fraserburgh,57.6874,-2.0184,81,292.64,100,2.54
27,Tabou,4.423,-7.3528,73,299.72,44,3.13
28,Punta Arenas,-53.15,-70.9167,79,273.76,8,3.69
29,Tuktoyaktuk,69.4541,-133.0374,93,279.93,100,1.65
30,Manokwari,-0.8667,134.0833,76,299.14,100,0.36
31,Pīlibhīt,28.6333,79.8,68,304.02,95,0.81
32,Leh,34.1667,77.5833,33,295.48,70,3.39
33,Bredasdorp,-34.5322,20.0403,49,289.97,0,2.53
34,Kulhudhuffushi,6.6221,73.07,72,300.96,5,3.21
35,Key Largo,25.0865,-80.4473,66,303.16,100,5.57
36,Kachug,53.9606,105.8817,80,284.85,59,2.02
37,Port Lincoln,-34.7333,135.8667,59,283.88,6,6.23
38,Mazagão,-0.115,-51.2894,62,303.32,5,2.55
39,Kapaa,22.0752,-159.319,79,297.14,18,0.45
40,Ko Samui,9.5357,99.9357,72,302.55,100,5.32
41,Amberley,39.2048,-84.428,88,299.31,1,0.0
42,La Ronge,55.1001,-105.2842,84,281.1,100,3.78
43,Daokou,35.5639,114.5058,83,296.56,24,2.02
44,Avarua,-21.2078,-159.775,100,295.18,75,1.54
45,Atlantic City,39.3643,-74.4229,86,297.17,100,6.78
46,Salalah,17.0151,54.0924,74,301.2,40,6.17
47,Esperance,-33.8667,121.9,66,283.06,55,4.54
48,Castro,-24.7911,-50.0119,35,297.7,0,3.16
49,Upernavik,72.7868,-56.1549,72,279.12,38,2.73
50,Faanui,-16.4833,-151.75,75,299.33,19,5.81
51,Belmonte,-15.8631,-38.8828,56,298.97,46,2.61
52,Breznik,42.7414,22.8981,20,303.07,4,3.1
53,Mataura,-46.1927,168.8643,93,283.97,17,2.2
54,Chenghai,23.4632,116.768,78,301.53,100,3.84
55,Hofn,64.2539,-15.2082,88,288.16,90,1.54
56,Saint Paul Harbor,57.79,-152.4072,99,285.66,100,1.61
57,Mitú,1.1983,-70.1733,88,298.16,92,0.49
58,Dingle,10.9995,122.6711,90,298.08,98,1.34
59,Emerald,-23.5333,148.1667,86,290.66,100,7.93
60,Pevek,69.7008,170.3133,87,275.4,85,3.11
61,Pinawa,50.1489,-95.8811,93,288.63,100,4.51
62,Kahului,20.8947,-156.47,98,297.74,97,4.98
63,La Palma,33.8464,-118.0467,86,292.79,1,1.54
64,Vilyuysk,63.7553,121.6247,71,284.46,100,1.9
65,Chico,39.7285,-121.8375,71,290.2,90,0.0
66,Port Alfred,-33.5906,26.891,59,290.85,0,2.81
67,Wahpeton,46.2652,-96.6059,77,289.55,0,2.88
68,Dikson,73.5069,80.5464,88,278.08,100,3.61
69,Yibin,28.7667,104.6238,86,298.7,100,0.53
70,Kenai,60.5544,-151.2583,96,284.9,90,3.09
71,Empório,40.4833,21.55,21,304.62,0,1.37
72,Sorong,-0.8833,131.25,80,299.41,100,1.28
73,Santiago del Estero,-27.7951,-64.2615,30,285.82,0,4.73
74,Cape Town,-33.9258,18.4232,65,294.2,0,0.89
75,Bandundu Province,-3.3167,17.3667,30,309.14,99,1.92
76,Buy,58.4786,41.53,49,292.1,17,4.78
77,Albany,42.6001,-73.9662,91,296.47,93,3.48
78,Boddam,57.4667,-1.7833,88,292.64,100,1.75
79,Rochester,43.1548,-77.6156,90,297.92,75,3.6
80,Beloha,-25.1667,45.05,47,300.39,5,5.13
81,Constitución,-35.3333,-72.4167,67,281.94,100,1.37
82,Iqaluit,63.7506,-68.5145,89,278.24,100,12.56
83,East London,-33.0153,27.9116,56,293.08,0,2.68
84,Shihezi,44.3,86.0333,13,300.1,0,3.69
85,Bata,1.8639,9.7658,75,300.09,27,4.13
86,Te Anau,-45.4167,167.7167,91,283.7,100,2.73
87,Mar del Plata,-38.0023,-57.5575,57,281.16,0,5.14
88,Bengkulu,-3.8004,102.2655,87,297.7,91,1.13
89,Cibitoke Province,-2.8833,29.25,33,301.5,76,2.86
90,Dali,25.7,100.1833,93,291.59,100,1.87
91,Mongoumba,3.6415,18.5936,39,307.11,75,1.43
92,Hartlepool,54.6861,-1.2125,67,294.26,75,2.9
93,Khasan,42.4308,130.6434,86,293.24,46,0.22
94,Arman',59.7,150.1667,98,286.21,100,1.79
95,Ostrovnoy,68.0531,39.5131,74,281.09,100,7.97
96,Clyde River,70.4692,-68.5914,98,274.95,100,4.74
97,Kaeo,-35.1,173.7833,71,285.09,87,3.79
98,Chaiyaphum,15.75,102.0,69,301.81,62,2.87
99,Ardakān,32.31,54.0175,9,312.36,91,6.81
100,Yining,29.0361,114.5636,91,299.19,100,1.18
101,Severo-Kuril'sk,50.6789,156.125,92,284.9,77,4.24
102,Mamou,10.5,-12.0,81,298.32,94,1.47
103,Dhidhdhoo,6.8833,73.1,73,300.97,15,3.23
104,Zhigansk,66.7697,123.3711,71,281.79,97,4.4
105,Pristina,42.6727,21.1669,25,304.6,20,0.89
106,Vitim,59.4511,112.5578,96,286.91,100,0.78
107,Kavieng,-2.5744,150.7967,77,299.87,100,2.28
108,Philadelphia,39.9523,-75.1638,94,297.33,90,0.89
109,Mawlaik,23.6333,94.4167,96,299.3,93,0.89
110,Khatanga,71.9667,102.5,64,283.57,100,4.78
111,Carnarvon,-24.8667,113.6333,67,293.82,0,8.5
112,Bluff,-46.6,168.3333,68,284.15,96,8.16
113,Samarai,-10.6167,150.6667,87,299.1,100,5.14
114,Muros,42.7762,-9.0603,53,304.25,1,2.2
115,Manuk Mangkaw,4.8,119.85,74,300.94,28,3.06
116,Aswān,24.0934,32.907,10,314.66,0,5.47
117,Mount Gambier,-37.8333,140.7667,79,279.06,61,4.0
118,Ancud,-41.8697,-73.8203,80,274.89,100,1.6
119,Bonfim,3.0833,-59.95,85,298.03,99,1.15
120,Marabu,4.4148,114.0089,87,298.24,100,0.94
121,New Norfolk,-42.7826,147.0587,66,277.87,7,1.34
122,Matagami,49.7502,-77.6328,62,289.68,0,1.61
123,Srednekolymsk,67.45,153.6833,76,279.79,100,5.97
124,Hasaki,35.7333,140.8333,85,295.37,21,1.28
125,Klaksvík,62.2266,-6.589,89,285.66,100,4.6
126,Gallup,35.5281,-108.7426,87,283.57,1,1.54
127,Carbonia,39.1672,8.5222,35,308.07,5,6.17
128,Birjand,32.8663,59.2211,8,306.41,0,3.09
129,Puerto Ayora,-0.7393,-90.3518,94,293.46,98,3.13
130,Saint George,37.1041,-113.5841,25,296.78,0,0.89
131,Ribeira Grande,38.5167,-28.7,94,297.37,40,5.66
132,Upornaya,44.3914,41.0196,81,295.27,100,3.23
133,Khiri Mat,16.8333,99.8,72,301.67,81,3.17
134,Oktyabr'skoye,43.0645,44.7417,69,296.23,75,3.0
135,Hambantota,6.1241,81.1185,79,302.34,20,5.14
136,Christchurch,-43.5333,172.6333,76,282.59,47,0.51
137,Kargasok,59.0556,80.8572,74,295.99,18,2.27
138,Cascais,38.6979,-9.4215,61,303.79,20,1.34
